sep=,
time_ms,cost_min
2.6,456.005657
18.6,418.404944
18.8,413.822874
19.2,386.187609
20.0,384.677924
33.8,383.005100
37.0,382.324505
39.2,382.318916
43.3,380.723675
46.3,380.434873
50.2,380.175048
53.3,379.724479
55.5,379.615280
57.7,376.891873
61.8,373.542439
64.3,372.793735
67.0,368.661244
71.6,367.625767
73.8,367.025876
76.7,366.748221
79.5,366.172359
82.1,365.643074
84.7,365.502131
87.0,364.967452
89.6,364.934870
95.4,363.624143
97.4,363.024607
100.1,362.396967
107.8,361.906146
111.7,361.819305
115.5,361.669939
118.1,361.378827
120.4,361.369258
122.7,360.524228
126.7,360.217520
128.4,360.028881
131.0,359.644057
133.9,359.294771
136.5,357.970888
138.9,357.563480
141.3,357.489499
143.1,357.261145
144.6,357.002770
146.6,356.923315
149.0,356.886668
151.1,355.143139
153.2,354.711877
155.6,354.296122
158.3,353.380412
161.0,352.667639
163.7,352.095219
165.4,351.695185
167.8,351.294239
170.2,350.488108
172.3,349.503452
174.6,348.852717
176.7,347.404648
179.6,347.276217
183.1,346.021251
186.6,345.218042
190.5,344.625035
194.1,344.328823
198.0,344.063782
201.9,342.263990
205.8,341.366987
209.7,341.241919
212.4,340.561192
215.0,339.886206
217.6,339.041440
219.6,339.006226
223.7,338.262970
225.5,338.037347
228.2,337.643472
229.9,336.652422
231.6,335.757617
233.7,335.275051
236.0,334.528244
238.5,334.312821
240.3,332.043877
243.1,331.851763
246.3,331.446361
248.6,331.229262
250.0,331.147719
251.4,330.710027
254.1,330.221448
256.4,330.154384
258.3,330.121386
260.4,330.045303
261.8,329.295691
263.3,329.270105
265.0,329.165582
267.3,328.399672
269.4,327.253286
270.8,327.165766
272.0,325.755728
275.2,325.549599
278.6,325.484127
282.0,325.477917
285.0,325.145029
288.9,324.749617
292.7,324.486577
296.7,323.958910
300.6,323.857616
304.5,323.677320
308.5,323.470986
312.6,323.333730
316.6,323.184395
320.8,322.999712
324.7,322.530680
328.6,322.514309
332.1,322.505256
336.0,321.920475
339.9,321.884974
343.7,321.024313
347.6,320.843401
351.5,320.790968
355.4,320.479032
358.8,320.475213
362.2,320.318211
365.3,320.203524
368.8,320.027272
371.8,319.993712
375.2,319.246039
378.5,319.215829
380.5,318.761879
383.5,318.622117
387.0,318.388386
390.3,318.330433
393.9,318.120696
397.5,317.693959
401.0,317.613136
404.7,317.600566
408.3,317.296989
411.6,316.992502
414.3,316.595037
418.0,316.512496
421.1,316.331567
424.2,316.044365
427.6,315.663343
431.2,315.481897
434.5,315.385624
438.0,315.261916
441.5,314.851361
444.7,314.815441
448.2,314.444368
451.7,314.241996
454.7,314.233465
457.9,314.217956
461.0,314.166678
464.7,314.047931
467.8,314.045873
471.5,313.844895
471.9,312.398376
475.4,312.345596
479.0,311.726455
481.8,310.482537
485.1,310.300533
488.0,308.868321
491.6,308.766008
494.7,306.572418
498.3,305.014084
501.9,304.158524
510.9,302.380670
514.5,301.405120
518.2,300.903937
521.9,300.833624
525.1,300.411523
528.6,300.338993
532.3,300.338259
535.8,300.243340
539.4,299.875077
542.7,299.801515
546.4,299.234995
550.0,299.039409
552.9,298.893413
556.4,298.618398
560.0,298.583720
563.1,298.402255
566.6,297.101041
570.2,296.644503
572.8,295.765916
576.3,295.585272
578.6,295.569433
581.9,293.923561
585.4,293.910958
588.4,293.782625
591.8,293.506673
595.0,292.934367
598.1,292.659769
601.1,292.534397
604.5,292.360654
607.6,292.041155
611.0,291.746583
614.3,291.642555
617.7,291.544151
621.1,291.434569
624.4,291.180958
627.3,290.826053
630.7,290.143530
634.2,290.136008
637.2,289.996323
640.3,289.871907
643.8,289.858160
647.9,289.632174
652.0,289.397776
656.2,289.192805
660.4,287.818244
664.8,287.145900
668.8,284.923607
672.6,284.808315
676.5,284.420223
680.6,283.941184
684.7,283.855802
688.8,283.687813
692.6,283.009287
696.8,281.516436
701.0,280.557039
705.1,280.539212
709.3,280.516714
713.4,279.102409
716.6,278.706515
720.7,278.251159
724.7,277.934949
728.3,277.859709
732.3,277.475221
736.3,277.467073
740.2,277.388568
743.0,276.743228
745.0,276.607445
748.8,276.147268
751.3,275.917064
753.6,275.751120
758.2,275.127637
760.2,273.761627
762.2,273.347959
763.9,273.074719
767.5,272.810047
771.0,272.761852
773.7,271.833883
777.4,270.681122
779.7,268.764541
782.3,267.604776
784.6,266.851375
789.5,266.775374
792.4,266.127370
795.9,265.992656
804.8,265.742570
808.3,265.635224
811.3,265.194511
813.7,264.914483
817.0,264.302352
820.9,263.786917
832.0,263.687213
835.6,263.675952
839.1,263.500138
841.3,263.317443
843.6,263.224327
846.2,262.858733
848.2,262.530614
850.5,262.011624
852.8,261.602750
855.3,261.415294
859.5,261.353088
863.2,261.265382
867.3,260.523561
871.6,259.971767
875.8,259.091998
879.9,258.541942
883.6,258.469462
887.6,258.036158
890.2,257.363132
892.6,257.319302
895.2,257.280841
897.5,257.167654
899.8,257.160170
902.1,256.935914
904.2,256.905707
906.2,256.738692
907.9,256.111883
910.2,255.973909
914.5,255.946081
916.6,255.660177
919.1,255.626046
921.5,255.412206
925.6,255.160448
927.7,254.278139
929.8,254.171424
935.0,253.926233
937.5,253.648304
939.6,253.536261
941.8,253.504790
944.2,252.722326
946.2,252.247022
948.5,251.973460
950.5,251.898982
952.8,251.523255
956.8,251.160055
959.1,249.500489
962.9,248.568184
964.3,248.342936
972.9,247.464514
976.3,247.425818
980.9,247.190707
985.1,246.589929
988.9,246.572669
991.0,245.807117
996.6,245.412332
1000.1,245.401473
1003.2,245.332642
1006.8,245.249203
1010.7,245.103440
1014.6,244.882657
1018.5,244.815450
1022.5,244.682521
1025.9,244.471146
1028.2,244.218482
1030.2,244.171993
1032.2,244.007717
1033.9,243.382838
1037.7,243.320118
1039.5,243.085578
1041.2,242.024978
1046.9,241.802028
1050.9,241.723492
1055.0,241.594672
1059.1,241.531823
1063.1,241.386910
1067.1,241.100788
1075.0,240.819509
1078.9,240.477491
1082.8,238.953935
1087.0,238.879615
1094.3,238.743889
1098.1,238.552583
1102.3,238.133980
1106.2,238.126395
1109.6,237.765459
1112.9,237.642599
1115.9,237.582089
1119.4,237.367696
1122.7,237.241301
1126.1,237.031332
1129.6,236.965231
1133.0,236.925221
1136.4,236.751963
1139.9,236.597524
1143.0,236.545369
1146.2,236.321063
1149.2,236.152360
1151.8,236.041082
1154.8,235.955431
1158.2,235.909441
1174.3,235.842300
1177.0,235.841867
1180.4,235.802088
1183.6,235.761175
1186.9,235.634237
1190.3,235.608818
1193.6,235.212806
1196.9,235.152734
1200.3,235.110886
1203.3,234.913731
1205.9,234.891216
1218.6,234.663384
1221.7,234.663154
1225.0,234.518667
1228.4,234.285826
1231.8,234.206406
1235.1,233.885156
1238.2,233.807060
1241.5,233.638308
1244.1,233.536230
1246.3,233.430450
1249.2,233.337788
1251.7,233.290975
1254.4,233.207962
1257.0,233.078245
1260.0,232.821146
1263.4,232.713662
1266.3,232.653101
1269.6,232.550421
1272.9,232.463330
1275.9,232.433018
1278.6,231.665061
1288.2,231.104387
1290.2,231.065956
1292.5,231.000382
1320.8,230.145957
1323.7,229.984611
1326.7,229.924615
1329.4,229.822159
1332.4,229.760012
1335.0,229.673526
1337.7,229.445990
1342.3,229.213888
1344.6,229.008553
1347.6,228.892506
1350.6,228.654545
1353.5,228.585142
1356.5,228.274061
1359.1,227.965987
1361.3,227.472111
1365.5,226.628431
1368.6,226.103988
1371.7,224.674574
1374.6,224.443617
1377.6,224.348499
1380.9,224.190829
1384.2,223.989942
1387.6,223.989208
1390.9,223.799788
1394.2,223.650012
1397.5,223.619166
1400.9,223.320308
1403.3,223.251762
1405.6,223.223325
1408.3,223.182732
1411.3,222.937364
1415.1,222.927238
1418.5,222.669826
1422.3,222.175306
1426.1,221.745966
1429.9,221.628454
1432.9,221.413288
1436.5,221.319082
1441.1,221.243582
1444.8,221.115663
1447.1,220.865627
1451.9,220.690106
1455.9,220.316895
1457.3,219.939610
1459.2,219.935357
1460.9,219.625627
1468.3,219.391090
1475.7,219.048103
1478.2,218.982570
1480.6,218.853213
1484.2,218.849266
1488.1,218.533675
1492.1,218.528490
1496.1,218.408027
1500.0,218.178964
1503.9,218.159625
1507.8,218.021719
1515.9,217.899175
1519.9,217.855284
1523.9,217.722770
1527.1,217.217487
1532.0,217.058797
1535.6,216.951026
1539.3,216.283536
1543.4,216.150626
1547.1,215.867378
1549.7,215.799710
1551.5,215.771127
1553.6,215.717161
1558.0,215.676552
1559.5,215.663624
1561.3,215.220994
1566.5,215.180974
1567.1,214.924236
1568.5,214.503477
1569.4,214.464848
1582.4,214.360187
1586.3,214.277704
1588.9,214.217883
1592.5,213.990256
1594.5,213.792033
1596.2,213.557792
1597.8,213.433806
1599.6,213.419122
1601.0,213.411607
1603.2,213.272024
1606.9,213.159321
1622.1,212.682370
1625.4,212.613048
1628.8,212.563263
1632.1,212.479305
1635.9,212.302086
1642.7,212.277433
1645.7,212.196386
1647.9,212.185366
1652.4,212.014758
1659.8,211.913870
1662.7,211.811175
1668.3,211.764740
1671.5,211.593145
1674.8,211.586104
1679.6,211.339488
1682.9,211.197030
1688.4,211.031286
1688.8,211.025157
1691.4,210.799482
1694.4,210.606296
1694.8,210.570265
1697.0,210.478519
1698.5,210.357858
1702.0,210.033413
1704.7,209.023352
1708.8,208.781356
1711.0,208.405026
1713.0,208.309028
1715.5,208.089710
1719.4,207.993654
1722.0,207.499271
1724.6,207.472110
1727.6,207.386729
1731.1,206.559332
1734.2,206.472978
1737.7,206.046900
1740.8,205.827635
1743.8,205.684614
1746.7,204.864925
1749.7,204.355641
1752.9,203.527435
1756.1,203.350787
1759.1,202.980269
1760.9,202.910697
1769.5,202.837776
1771.8,202.112299
1775.1,201.954994
1780.6,201.775576
1791.3,201.679726
1793.4,201.672583
1800.4,200.878642
1806.2,200.663136
1808.4,199.998915
1809.9,199.831744
1812.7,199.263543
1813.5,199.258437
1815.2,199.186846
1818.4,198.544734
1821.0,198.396186
1823.7,197.477129
1826.3,197.172669
1831.2,197.112259
1833.8,196.541108
1836.9,196.399519
1840.1,196.235895
1843.0,195.823057
1845.9,195.800862
1849.1,195.596102
1865.0,195.446346
1866.9,195.429914
1869.6,195.400401
1873.0,195.384221
1875.2,195.029326
1887.2,195.012758
1889.8,195.008867
1893.4,194.887604
1894.5,194.818213
1897.4,194.770572
1899.4,194.544421
1899.7,194.425124
1901.1,193.965170
1902.8,193.744175
1904.5,193.407945
1905.9,193.373076
1910.1,193.365908
1912.3,193.197456
1914.8,193.098771
1917.2,192.868476
1929.3,192.481473
1931.4,192.182998
1932.5,192.076525
1934.5,192.028863
1935.9,191.962716
1942.9,191.954246
1944.3,190.971750
1955.5,190.867915
1958.4,190.459666
1962.1,190.167691
1966.4,190.096731
1970.1,189.851875
1971.2,189.826847
1973.3,189.789800
1986.3,189.612221
1988.4,188.885630
1991.6,188.882493
1993.2,188.863617
1994.6,188.790195
2007.5,188.707658
2009.6,188.663548
2012.1,188.500798
2014.2,188.305130
2021.3,188.174966
2039.3,187.331003
2042.7,187.244520
2045.9,186.662316
2049.3,186.540860
2052.9,186.241763
2066.8,186.136935
2083.7,186.008882
2087.0,185.720369
2098.4,185.668038
2101.3,185.454292
2103.8,185.436955
2105.7,185.250745
2107.9,184.777083
2113.5,184.622385
2128.1,184.520269
2131.4,184.507571
2134.6,184.191855
2139.1,184.003823
2145.3,183.690055
2149.0,183.114415
2152.4,182.891141
2155.4,182.856115
2158.8,182.619745
2165.0,182.586339
2168.4,182.566959
2171.3,182.506486
2174.3,182.297097
2178.6,182.212288
2180.7,181.869920
2182.8,180.849114
2216.2,180.319836
2219.6,179.693239
2223.0,179.667140
2246.9,179.478492
2249.8,179.410545
2252.8,179.278612
2256.3,179.088093
2260.1,179.034193
2263.4,179.015740
2266.9,178.988042
2270.4,178.945065
2273.9,178.837629
2277.0,178.811287
2279.3,178.766175
2281.3,178.720694
2284.2,178.690759
2286.2,178.679932
2287.3,178.614443
2299.0,178.591793
2301.6,178.535952
2305.5,178.470833
2308.5,178.406167
2310.6,178.364101
2311.7,178.047811
2313.7,178.041781
2314.6,177.971819
2327.3,177.717028
2330.5,177.707436
2333.1,177.696724
2335.8,177.682691
2339.1,177.542017
2342.0,177.350488
2344.0,177.305343
2346.5,177.266934
2350.1,177.255444
2351.6,177.121391
2354.5,177.000791
2357.8,176.961623
2360.5,176.840521
2365.4,176.765000
2367.9,176.643845
2369.8,176.561284
2372.5,176.450590
2375.2,176.422469
2402.1,176.379959
2404.0,175.611914
2407.1,175.371272
2410.3,175.087888
2413.5,174.987865
2416.4,174.903346
2418.3,174.880080
2420.5,174.594756
2422.0,174.592373
2424.0,174.107456
2428.4,173.434339
2430.3,173.354154
2442.9,173.307947
2454.3,173.141234
2456.2,173.122783
2460.7,173.070061
2462.9,173.035048
2465.0,173.005017
2476.9,172.930234
2480.4,172.787282
2483.5,172.744995
2485.7,172.658529
2488.3,172.625743
