sep=,
time_ms,cost_min
7.5,409.079665
29.5,386.187609
30.3,384.677924
43.4,383.005100
46.7,382.324505
49.9,382.318916
52.3,380.723675
54.3,380.434873
56.6,380.175048
59.0,379.724479
61.9,379.615280
64.7,376.891873
70.2,373.542439
73.3,372.793735
77.0,368.661244
81.1,367.625767
85.0,367.025876
89.0,366.748221
93.4,366.172359
97.7,365.643074
102.0,365.502131
105.9,364.967452
111.0,364.934870
120.4,363.624143
123.7,363.024607
126.2,362.396967
132.9,361.906146
135.6,361.819305
139.5,361.669939
144.3,361.378827
149.2,361.369258
153.5,360.524228
161.8,360.217520
166.1,360.028881
170.4,359.644057
174.6,359.294771
179.1,357.970888
183.4,357.563480
187.1,357.489499
190.9,357.261145
194.5,357.002770
198.2,356.923315
205.2,356.886668
207.9,355.143139
210.7,354.711877
213.9,354.296122
217.7,353.380412
220.7,352.667639
223.9,352.095219
227.7,351.695185
231.1,351.294239
233.7,350.488108
237.5,349.503452
241.3,348.852717
247.5,347.404648
252.9,347.276217
259.1,346.021251
262.1,345.218042
268.6,344.625035
271.9,344.328823
274.8,344.063782
278.5,342.263990
282.6,341.366987
286.5,341.241919
290.2,340.561192
293.4,339.886206
296.5,339.041440
300.3,339.006226
303.5,338.262970
309.1,338.037347
312.9,337.643472
315.0,336.652422
318.3,335.757617
321.9,335.275051
325.7,334.528244
329.0,334.312821
332.5,332.043877
339.4,331.851763
344.0,331.446361
348.1,331.229262
353.1,331.147719
356.8,330.710027
360.7,330.221448
364.1,330.154384
367.8,330.121386
371.6,330.045303
375.3,329.295691
379.1,329.270105
382.0,329.165582
385.3,328.399672
389.5,327.253286
393.9,327.165766
398.3,325.755728
402.9,325.549599
407.4,325.484127
411.9,325.477917
415.8,325.145029
419.4,324.749617
424.0,324.486577
428.4,323.958910
432.9,323.857616
436.6,323.677320
440.7,323.470986
444.5,323.333730
448.2,323.184395
451.3,322.999712
454.5,322.530680
457.1,322.514309
460.4,322.505256
462.7,321.920475
468.7,321.884974
473.0,321.024313
477.1,320.843401
483.0,320.790968
486.8,320.479032
492.1,320.475213
495.8,320.318211
497.7,320.203524
504.3,320.027272
508.3,319.993712
512.2,319.246039
514.2,319.215829
518.0,318.761879
521.7,318.622117
525.7,318.388386
529.9,318.330433
532.8,318.120696
535.7,317.693959
539.3,317.613136
543.2,317.600566
547.3,317.296989
551.6,316.992502
556.1,316.595037
559.5,316.512496
563.2,316.331567
566.9,316.044365
570.6,315.481897
574.3,315.385624
577.6,315.162865
581.4,314.980123
584.6,314.835365
587.5,314.508960
590.6,314.491896
594.3,314.190796
597.9,314.020626
602.5,313.769192
605.7,313.768183
608.1,313.641820
612.5,313.434304
617.5,313.170593
621.0,312.422319
623.8,312.186593
626.3,312.007787
628.4,311.590636
630.6,311.434343
632.7,311.248438
636.7,310.873665
640.8,310.615743
644.5,310.512169
648.2,310.181548
652.3,310.132546
656.7,309.678289
661.2,309.272137
661.7,308.868321
665.8,308.766008
670.0,306.572418
674.1,305.014084
678.3,304.158524
686.1,302.380670
690.3,301.405120
697.7,300.903937
701.8,300.833624
705.9,300.411523
710.0,300.338993
714.1,300.338259
718.3,300.243340
722.5,299.875077
726.6,299.801515
730.9,299.234995
735.0,299.039409
739.2,298.893413
742.4,298.618398
745.1,298.583720
747.7,298.402255
749.8,297.101041
754.2,296.644503
757.8,295.765916
759.3,295.585272
761.4,295.569433
763.5,293.923561
765.9,293.910958
767.7,293.782625
770.1,293.506673
772.5,292.934367
774.6,292.659769
776.6,292.534397
779.0,292.360654
781.7,292.041155
786.0,291.746583
787.8,291.642555
789.9,291.544151
792.5,291.434569
794.2,291.180958
796.3,290.826053
798.2,290.143530
802.4,290.136008
805.7,289.996323
808.4,289.871907
810.7,289.858160
813.0,289.632174
815.4,289.397776
816.8,289.192805
818.2,287.818244
820.4,287.145900
822.7,284.923607
826.1,284.808315
829.1,284.420223
832.1,283.941184
835.5,283.855802
838.8,283.687813
842.8,283.009287
846.8,281.516436
850.3,280.557039
857.7,280.539212
861.7,280.516714
865.1,279.102409
