sep=,
time_ms,cost_min
3.3,424.727109
14.3,413.822874
14.7,386.187609
17.7,384.677924
29.6,383.005100
31.5,382.324505
33.2,382.318916
35.3,380.723675
36.2,380.434873
37.8,380.175048
39.2,379.724479
40.4,379.615280
42.0,376.891873
44.4,373.542439
45.6,372.793735
46.9,368.661244
49.7,367.625767
51.7,367.025876
54.5,366.748221
55.7,366.172359
67.5,365.643074
68.7,365.502131
69.4,364.967452
70.1,364.934870
82.4,363.624143
84.5,363.024607
85.8,362.396967
89.6,361.906146
90.6,361.819305
102.4,361.669939
104.1,361.378827
104.8,361.369258
106.8,360.524228
120.1,360.217520
121.6,360.028881
123.8,359.644057
135.1,359.294771
136.7,357.970888
149.9,357.563480
152.0,357.489499
153.8,357.261145
155.1,357.002770
156.1,356.923315
168.5,356.886668
170.7,355.143139
172.6,354.711877
173.5,354.296122
174.7,353.380412
176.3,352.667639
178.0,352.095219
178.6,351.695185
182.6,351.294239
184.0,350.488108
196.2,349.503452
198.3,348.852717
201.6,347.404648
206.1,347.276217
211.3,346.021251
214.7,345.218042
219.1,344.625035
230.6,344.328823
232.6,344.063782
234.5,342.263990
236.4,341.366987
237.6,341.241919
239.1,340.561192
242.3,339.886206
243.4,339.041440
244.4,339.006226
247.1,338.262970
258.9,338.037347
261.2,337.643472
263.4,336.652422
265.2,335.757617
267.1,335.275051
268.3,334.528244
272.5,334.312821
274.0,332.043877
288.3,331.851763
290.9,331.446361
293.0,331.229262
305.1,331.147719
307.2,330.710027
308.9,330.221448
310.9,330.154384
312.6,330.121386
313.3,330.045303
314.6,329.295691
316.6,329.270105
318.2,329.165582
319.0,328.399672
319.7,327.253286
320.6,327.165766
322.5,325.755728
323.2,325.549599
324.9,325.484127
326.2,325.477917
328.3,325.145029
330.1,324.749617
343.0,324.486577
344.8,323.958910
345.7,323.857616
346.7,323.677320
359.2,323.470986
361.2,323.333730
364.3,323.184395
367.1,322.999712
367.9,322.530680
382.0,322.514309
383.9,322.505256
385.2,321.920475
398.3,321.884974
400.2,321.024313
401.5,320.843401
404.9,320.790968
406.8,320.479032
407.5,320.475213
408.6,320.318211
409.6,320.203524
411.7,320.027272
411.9,319.993712
412.6,319.246039
414.4,319.215829
415.5,318.761879
427.9,318.622117
429.8,318.388386
431.7,318.330433
433.6,318.120696
434.3,317.693959
445.1,317.613136
447.2,317.600566
449.0,317.296989
460.5,316.992502
462.4,316.595037
464.4,316.512496
466.0,316.331567
467.6,316.044365
468.9,315.481897
481.9,315.385624
483.8,315.162865
485.5,314.980123
487.6,314.835365
499.9,314.508960
502.0,314.491896
503.2,314.190796
515.9,314.020626
518.1,313.769192
519.7,313.768183
531.7,313.641820
533.8,313.434304
536.8,313.170593
538.4,312.422319
550.9,312.186593
553.0,312.007787
554.1,311.590636
566.7,311.434343
568.8,311.248438
570.4,310.873665
571.7,310.615743
583.9,310.512169
586.1,310.181548
587.1,310.132546
587.7,309.678289
600.0,309.272137
602.2,309.250644
603.6,309.237992
605.2,308.869521
606.9,308.429122
608.5,308.210941
611.3,308.004171
612.5,307.941813
614.2,307.819486
614.5,306.572418
615.6,305.014084
616.5,304.158524
621.6,302.380670
622.1,301.405120
625.8,300.903937
636.9,300.833624
638.6,300.411523
640.2,300.338993
643.2,300.338259
644.2,300.243340
645.5,299.875077
648.0,299.801515
649.9,299.234995
651.0,299.039409
652.6,298.893413
653.4,298.618398
654.8,298.583720
655.8,298.402255
657.2,297.101041
669.0,296.644503
670.7,295.765916
671.7,295.585272
684.4,295.569433
686.8,293.923561
689.1,293.910958
690.1,293.782625
690.8,293.506673
691.8,292.934367
703.3,292.659769
704.7,292.534397
705.8,292.360654
706.9,292.041155
719.8,291.746583
721.1,291.642555
722.2,291.544151
734.6,291.434569
736.2,291.180958
737.3,290.826053
738.0,290.143530
739.5,290.136008
751.8,289.996323
753.0,289.871907
765.4,289.858160
767.3,289.632174
768.8,289.397776
