sep=,
time_ms,cost_min
2.5,431.312254
13.4,413.822874
13.6,386.187609
15.2,384.677924
16.2,383.005100
27.5,382.324505
29.5,382.318916
32.9,380.723675
33.8,380.434873
37.1,380.175048
39.8,379.724479
41.1,379.615280
42.7,376.891873
46.2,373.542439
48.2,372.793735
60.9,368.661244
62.9,367.625767
64.7,367.025876
66.9,366.748221
79.5,366.172359
81.4,365.643074
82.8,365.502131
85.0,364.967452
85.8,364.934870
98.1,363.624143
100.2,363.024607
102.0,362.396967
113.4,361.906146
115.3,361.819305
117.1,361.669939
118.7,361.378827
119.9,361.369258
121.3,360.524228
134.1,360.217520
135.4,360.028881
136.9,359.644057
149.0,359.294771
150.3,357.970888
150.8,357.563480
163.1,357.489499
165.0,357.261145
166.4,357.002770
167.1,356.923315
178.8,356.886668
180.8,355.143139
182.6,354.711877
183.3,354.296122
184.0,353.380412
196.5,352.667639
198.1,352.095219
198.8,351.695185
211.3,351.294239
213.3,350.488108
214.9,349.503452
216.3,348.852717
217.2,347.404648
229.4,347.276217
231.3,346.021251
232.4,345.218042
245.4,344.625035
247.4,344.328823
248.6,344.063782
249.5,342.263990
250.4,341.366987
252.1,341.241919
263.6,340.561192
264.9,339.886206
265.7,339.041440
276.8,339.006226
278.9,338.262970
282.1,338.037347
283.2,337.643472
285.1,336.652422
286.6,335.757617
288.0,335.275051
289.1,334.528244
303.4,334.312821
305.3,332.043877
308.5,331.851763
310.2,331.446361
312.7,331.229262
314.2,331.147719
316.8,330.710027
318.9,330.221448
321.5,330.154384
333.6,330.121386
335.6,330.045303
337.5,329.295691
338.8,329.270105
341.3,329.165582
341.9,328.399672
343.1,327.253286
354.0,327.165766
356.0,325.755728
357.9,325.549599
359.9,325.484127
361.2,325.477917
363.3,325.145029
364.8,324.749617
377.2,324.486577
379.2,323.958910
380.3,323.857616
381.4,323.677320
383.8,323.470986
396.9,323.333730
399.0,323.184395
400.0,322.999712
400.3,322.530680
412.4,322.514309
414.1,322.505256
